Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Trent Mesa,Nolan County,Texas,Donation/support to local cause,2001,Invenergy / AEP Renewables,83,156.0,,"- In April 2020, AEP Renewables donated $10,000 to the Community Foundation of Abilene in Abilene, TX.",https://www.aep.com/news/stories/read/5594/AEP-Renewables-Gives-Back-to-Communities-During-the-Pandemic,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Turkey Track,Nolan County,Texas,Non-financial,2008,Invenergy,113,169.5,,"- In 2018, the Turkey Track wind project participated in a local Adopt-a-Highway program.",https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/bltc4129d0eafa6d729/63f395df26b1b56776dd01d6/Invenergy_Impact_2018_Sustainability_Report.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Wake,"Floyd County, Crosby County",Texas,Donation/support to local cause,2016,Invenergy / Southern Company,150,257.5,,"- Invenergy has supported the Military Order of the Purple Heart (MOPH) Chapter 0900 throughout the Wake project's lifetime. In 2021, MOPH Chapter 0900 presented the Wake team with ""A Purple Heart Business"" proclamation and an award plaque.",https://invenergy.com/news/power-lines/invenergy-impact-recap-december-2021,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Western Trail,"Baylor County, Wilbarger County",Texas,Donation/support to local cause,2021,Ørsted,130,367.0,,"- Western Trail Wind has supported local organizations and events, including the Baylor County Junior Livestock Show Networking Event.",Information came via email from developer,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Willow Springs,Haskell County,Texas,Donation/support to local cause,2017,Lincoln Clean Energy / Ørsted ,100,250.0,,"- Willow Springs has donated to local organizations, including Haskell County Jr. Livestock and the Angel Tree Program.",Information came via email from developer,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Windthorst ,Archer County,Texas,Donation/support to local cause,2014,Horn Wind / Own Energy / EDF Renewables,28,64.0,,"- In 2020, EDF donated $10,000 ($5,000 for its two wind projects in the community) to the county to help programs that were impacted by COVID-19. The county decided to distributed $2,000 each to three school districts and two service centers. 

- Since the Windthorst project was under construction, Horn Wind and Own Energy have collaborated to provide $10,000 annually in scholarships for Archer City High School graduating seniors. The scholarship fund is administered by the Wichita Falls Area Community Foundation.","https://www.co.archer.tx.us/upload/page/1318/2020%20Minutes/04272020.pdf, https://texashistory.unt.edu/ark:/67531/metapth633518/m1/1/",2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Young,Young County,Texas,Donation/support to local cause,2022,Apex Clean Energy,177,500.0,,"- In December 2022, Apex Clean Energy’s Conservation Grant Program awarded a $200,000 conservation grant on behalf of the El Sauz and Young wind projects. The grant went to Bat Conservation International, which will work with Texas Parks and Wildlife and the Texas Department of Criminal Justice to restore or relocate a colony of nearly one million Mexican free-tailed bats from a critical historic bat roost in an old cotton warehouse in Huntsville, Texas. Additionally, the grant will support bat education, outreach, and research at the site.  Through Apex Clean Energy’s Conservation Grant Program, each renewable energy project commercialized by Apex contributes a sum of money, proportional to the size of the project, to support local or regional wildlife conservation, reforestation and flora restoration, protection of sensitive habitats such as grassland or wetlands, and other environmental conservation initiatives in or near project communities.",https://cleanpower.org/blog/the-clean-energy-industrys-commitment-to-bat-conservation/,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Latigo,San Juan County,Utah,Donation/support to local cause,2016,Wasatch Wind / sPower / AES,27,60.0,,"- In 2015, sPower donated $250,000 to the Four Corners School of Outdoor Education. This partnership enables the school to incorporate renewable energy, aeronautics, and physics into their exhibits and curricula.","https://energycentral.com/news/towering-wind-turbines-generate-controversy-income-monticello-utah, https://www.durangoherald.com/articles/four-corners-school-of-outdoor-education-shows-off-new-discovery-center/, https://enyo-energy.com/testimonials/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Milford I & II,"Beaver County, Millard County",Utah,Fund,2009,First Wind / SunEdison,165,306.0,Donation/support to local cause,"- For some of the project's lifetime, First Wind annually funded the Milford Fourth of July fireworks.

- In 2009, First Wind started a scholarship program in Utah, where the company is building a 230-megawatt facility called the Milford Wind Corridor. The program, called First Wind Scholars, focused on high school seniors in Utah interested in studies involving the environment, energy, and the sciences. The first $3,000 one-time scholarship was specifically intended for students in Beaver and Millard counties in Utah.","https://www.windpowerengineering.com/first-wind-celebrates-5-year-anniversary-utah-based-milford-wind-project/, https://www.windpowerengineering.com/first-wind-announces-opening-applications-sixth-year-scholarship-program/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Kingdom Community Wind,Orleans County,Vermont,Payment to government outside of an agreement,2012,Green Mountain Power,21,63.0,,"- Green Mountain Power established a Good Neighbor Fund of approximately $180,000 annually (for the first ten years of the wind project's operation) to provide benefits to the towns that are within five miles of the wind project but don't receive tax revenues like the host town (Lowell) does. Total annual payment is determined based on power generation at the wind project, and each town's portion is determined by how much of the town's area is in the wind project's five-mile radius. In 2016, Eden received $77,420, Albany received $69,885, Craftsbury received $33,851, and Westfield and Irasburg each received $10,000. The towns determine how to use these funds, including for investments in infrastructure and facilities; for example, Craftsbury residents voted to use the funds to invest in a solar energy system to help cover municipal electric needs.","https://vermontbiz.com/news/2016/january/19/kingdom-community-wind-exceeds-expectations, https://legislature.vermont.gov/Documents/2020/WorkGroups/House%20Natural/Wind%20Power/W~Robert%20Dostis~Kingdom%20Community%20Wind%20Quick%20Facts%20for%202019~2-21-2019.pdf, https://vtdigger.org/2010/06/01/gmp-offers-nek-towns-cash-in-exchange-for-wind-farm-project/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sheffield,Caledonia County,Vermont,Donation/support to local cause,2011,First Wind / Terraform Power ,16,40.0,,"- In 2014, First Wind funded a project request from Lyndon Town Elementary School in Lyndonville. The request was for inquiry-based kits and materials to conduct experiments to learn about renewable and non-renewable sources of energy.",https://www.windpowerengineering.com/first-wind-contributes-schools-near-wind-farms/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rattlesnake Flat,Adams County,Washington,Donation/support to local cause,2020,Clearway Energy Group / Avista,57,160.0,,"- Avista and Clearway Energy Group have both donated to Adams County nonprofits, including the Washtucna Heritage Museum and Community Center, the Adams County Fire Protection District #7, the Lind Senior Center, and the Lind Lions Club.",https://www.myavista.com/connect/articles/2021/03/local-treasures-with-pia-rattlesnake-flats-wind-farm#:~:text=Avista%20and%20Clearway%20Energy%20Group%2C%20both%20made%20generous%20donations%20to%20many%20Adams%20County%20non%2Dprofits%20including%20the%20Washtucna%20Heritage%20Museum%20and%20Community%20Center%2C%20the%20Adams%20County%20Fire%20Protection%20District%20%237%2C%20the%20Lind%20Senior%20Center%20and%20the%20Lind%20Lions%20Club.,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Skookumchuck,Lewis County,Washington,Donation/support to local cause,2020,RES / Puget Sound Energy / Weyerhaeuser / TransAlta ,38,136.0,,"- In 2019, RES donated $17,000 to the Yelm Community Schools District; the donation went toward nine schools in the district, including $5,000 for the high school football field.",https://www.thurstontalk.com/2019/07/26/yelm-school-district-to-receive-17000-donation-from-skookumchuck-wind-tonight/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tucannon River Wind,Columbia County,Washington,Fund,2014,RES / Portland General Electric,116,267.0,,"- In 2015, the Portland General Electric Tucannon River Wind Farm Habitat Project Fund was created through a Memorandum of Agreement involving Columbia County, the Washington Department of Fish and Wildlife, the Blue Mountain Community Foundation, and Portland General Electric. The fund distributes grants to support habitat conservation, restoration, monitoring, management, and enhancement projects in Columbia County for the benefit of both wildlife and the public at large.",https://res.cloudinary.com/dpmykpsih/image/upload/bmcf-site-322/media/1125/pge-tucannon-river-wind-habitat-project-fund-rfp-revised_pge-1-1.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Black Rock,"Mineral County, Grant County",West Virginia,Fund,2021,Clearway Energy Group,23,115.0,Non-financial,"- The Black Rock Community Benefit Fund was established to provide financial support for charitable projects and programs in the communities surrounding the wind farm. The fund distributed $133,000 in 2022, the first year of the wind farm’s operations, and will distribute an additional $50,000 each year for the life of the project. The fund is hosted by US Wind Force Foundation, and an allocation committee made up of residents from Grant and Mineral counties determines how funds are distributed. The program models Pattern Energy's Pinnacle Wind Community Benefit fund. 

- In 2022, Black Rock hosted a KidWind workshop for students, parents, and teachers.","https://www.clearwayenergygroup.com/press-releases/black-rock-community-benefit-fund-grant-application-open-for-area-nonprofits/, https://www.uswff.org/copy-of-community-benefits-fund, https://investor.clearwayenergy.com/static-files/735f7b2c-ef35-49c6-b82c-ef76bba67051",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Laurel Mountain,"Randolph County, Barbour County",West Virginia,Fund,2011,AES,61,98.0,,- Laurel Mountain provides scholarships to high school students in Randolph and Barbour counties.,https://www.wvnews.com/theet/news/wind-energy-still-isnt-mainstream-in-the-mountain-state/article_d9fec3b2-02b8-56fe-81dc-74c26e832322.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Mount Storm,Grant County,West Virginia,Donation/support to local cause,2008,Clearway Energy Group,132,264.0,,"- As part of Clearway Energy Group's Adopt-A-School program, in 2022, Mount Storm Wind contributed two $10,000 donations to two local elementary schools to support STEM education, as well as a $13,000 donation to help one of the schools refurbish an exercise room. ",https://investor.clearwayenergy.com/static-files/735f7b2c-ef35-49c6-b82c-ef76bba67051,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Pinnacle,Mineral County,West Virginia,Fund,2012,Clearway Energy Group,23,55.0,Donation/support to local cause,"- Pinnacle Community Benefit Fund distributes $20,000 annually to the local community and has awarded more than $250,000 since Pinnacle began operations in 2012. Pinnacle Wind donated $60,000 to the Community Benefit Fund at the start of commercial operations in 2012 and $20,000 per year for the life of the project; the fund was extended when the wind farm was repowered in 2021. The fund is hosted by US Wind Force Foundation and was established to provide locally-controlled financial resources for community projects in the area immediately surrounding the project.

- Clearway Energy Group donated funds to help the Petersburg High School football team replace equipment lost in a 2019 fire.","https://www.times-news.com/news/local_news/wind-farm-foundation-making-grants-available-to-nonprofits/article_4987dd63-addc-519f-9a31-950ddb10ea43.html, https://www.powermag.com/repowering-project-aims-for-pinnacle-of-success/, https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CWEN_2019.pdf, https://www.clearwayenergygroup.com/blog/citizens-where-we-serve-renewable-energys-long-term-success-begins-in-local-communities/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
